,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Early Childhood Services Directory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"A list of New Zealand Early Childhood Services including contact details, institution information, regional information and management contact details.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
^ Email addresses are only listed for Early Childhood Education services that agreed to have their email publicly released.  Persons or organisations wishing to send email material to individuals or organisations whose email addresses appear in this directory must comply with the requirements of the Unsolicited Electronic Messages Act 2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"*Other Ethnicity includes, Other, MELAA, Not Stated. In the case of Kohanga Reo services Other also includes Asian and European.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Roll data as at 1 July 2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Report data last updated on: 22 - June - 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Number,Name,Telephone,Fax No,Email^,Street,Suburb,Town / City,Institution Type,Definition,Authority,20 Hours ECE,Equity Index,Territorial Authority with Auckland Local Board,Regional Council,Education Region,General Electorate,Maori Electorate,Census Area Unit,Ward,Management Contact Details,Management Location Address,Management Postal Address,Management Postal Suburb,Management Postal City,Management Contact Phone,Management Contact Fax,Community of Learning: ID,Community of Learning: Name,Longitude,Latitude,All Children,Under 2's,Age 0,Age 1,Age 2,Age 3,Age 4,Age 5,Total Roll,Maori,Pacific,Asian*,European Pakeha*,Other*
5390,Wellington South Kindergarten,04 389 9919,,office@wmkindergartens.org.nz,103 Owen Street,Newtown,Wellington,Free Kindergarten,Not Applicable,Community based,Yes,EQI 3,Wellington City,Wellington Region,Wellington,Rongotai,Te Tai Tonga,Newtown East,Southern Ward,Amanda Coulston,Unit F 15 John Seddon Drive,P O Box 50743,,Porirua 5240,04-232-3069,04-2323096,99171,Capital City Community of Learning,174.785051,-41.314569,30,0,0,0,7,13,13,0,33,3,2,4,3,21
5391,Petone Beach Kindergarten,04 568 5871,,,20 King Street,Petone,Lower Hutt,Free Kindergarten,Not Applicable,Community based,Yes,EQI 5+,Lower Hutt City,Wellington Region,Wellington,Hutt South,Te Tai Tonga,Esplanade,Harbour Ward,Amanda Coulston,Unit F 15 John Seddon Drive,P O Box 50743,,Porirua 5240,04-232-3069,04-2323096,,,174.878745,-41.227216,35,0,0,0,5,21,23,1,50,5,2,5,38,0
5392,Mayfield Kindergarten (Blenheim),03 578 3758,03 578 3789,mayfield@mka.org.nz,36 Girling Avenue,Mayfield,Blenheim,Free Kindergarten,Not Applicable,Community based,Yes,EQI 3,Marlborough District,Marlborough Region,Nelson/Marlborough/West Coast,Kaikoura,Te Tai Tonga,Mayfield,Blenheim Ward,Corina Naus,50 a Redwood Street,P O Box 490,Blenheim,Blenheim 7240,03-578 4800,03-578 4820,99006,Piritahi (2BCoS) Community of Learning,173.95435,-41.503674,44,0,0,0,4,13,27,1,45,18,1,5,20,0
5394,Redwoodtown Kindergarten,03 578 4756,03 578 4762,redwoodtown@mka.org.nz,101 Weld Street,Redwoodtown,Blenheim,Free Kindergarten,Not Applicable,Community based,Yes,EQI 4,Marlborough District,Marlborough Region,Nelson/Marlborough/West Coast,Kaikoura,Te Tai Tonga,Redwoodtown,Blenheim Ward,Corina Naus,50 a Redwood Street,P O Box 490,Blenheim,Blenheim 7240,03-578 4800,03-578 4820,99006,Piritahi (2BCoS) Community of Learning,173.954753,-41.531705,40,0,0,0,5,19,19,0,43,11,3,3,26,0
5395,Seymour Kindergarten,03 578 4669,03 578 4863,seymour@mka.org.nz,50 Redwood Street,,Blenheim,Free Kindergarten,Not Applicable,Community based,Yes,EQI 5+,Marlborough District,Marlborough Region,Nelson/Marlborough/West Coast,Kaikoura,Te Tai Tonga,Whitney,Blenheim Ward,Corina Naus,50 a Redwood Street,P O Box 490,Blenheim,Blenheim 7240,03-578 4800,03-578 4820,99006,Piritahi (2BCoS) Community of Learning,173.960682,-41.520349,43,0,0,0,0,26,20,0,46,13,1,1,30,1
5396,Witherlea Kindergarten,03 579 3383,03 579 2283,witherlea@mka.org.nz,18 Alana Place,Witherlea,Blenheim,Free Kindergarten,Not Applicable,Community based,Yes,EQI 5+,Marlborough District,Marlborough Region,Nelson/Marlborough/West Coast,Kaikoura,Te Tai Tonga,Witherlea,Blenheim Ward,Corina Naus,50 a Redwood Street,P O Box 490,Blenheim,Blenheim 7240,03-578 4800,03-578 4820,99006,Piritahi (2BCoS) Community of Learning,173.954599,-41.537815,42,0,0,0,0,13,30,0,43,4,0,0,38,0
5397,Birchwood Kindergarten,03 547 9637,,,311 Seaview Road,Stoke,Nelson,Free Kindergarten,Not Applicable,Community based,Yes,EQI 5+,Nelson City,Nelson Region,Nelson/Marlborough/West Coast,Nelson,Te Tai Tonga,Langbein,Area Outside Ward,Craig Vercoe,200 Hardy Street,P O Box 360,Nelson,Nelson 7040,03-5418922,,99042,Te Kahui Ako o Omaio ki Tahunanui,173.223802,-41.306907,43,0,0,0,11,20,18,0,49,6,2,3,38,0
5398,Greenwood Kindergarten,03 528 8385,,Craig.Vercoe@ntk.org.nz,51 Greenwood Street,,Motueka,Free Kindergarten,Not Applicable,Community based,Yes,EQI 3,Tasman District,Tasman Region,Nelson/Marlborough/West Coast,West Coast-Tasman,Te Tai Tonga,Motueka East,Motueka Ward,Craig Vercoe,200 Hardy Street,P O Box 360,Nelson,Nelson 7040,03-5418922,,99115,Motueka Community of Learning,173.015841,-41.110238,45,0,0,0,9,15,13,1,38,14,0,5,19,0
5399,Grove Street Kindergarten,03 548 8600,,Craig.Vercoe@ntk.org.nz,50 A Grove Street,,Nelson,Free Kindergarten,Not Applicable,Community based,Yes,EQI 5+,Nelson City,Nelson Region,Nelson/Marlborough/West Coast,Nelson,Te Tai Tonga,The Wood,Area Outside Ward,Craig Vercoe,200 Hardy Street,P O Box 360,Nelson,Nelson 7040,03-5418922,,99005,Nelson City Community of Learning,173.289816,-41.269276,42,0,0,0,5,14,22,3,44,4,0,11,28,1
5400,Waimea Kindergarten,03 546 7683,,waimeakindergarten@ntk.org.nz,11 A Gilbert Street,,Richmond,Free Kindergarten,Not Applicable,Community based,Yes,EQI 5+,Tasman District,Tasman Region,Nelson/Marlborough/West Coast,Nelson,Te Tai Tonga,Richmond East,Richmond Ward,Craig Vercoe,200 Hardy Street,P O Box 360,Nelson,Nelson 7040,03-5418922,,99142,Waimea Community of Learning,173.196589,-41.342492,75,0,0,0,10,34,38,1,83,7,0,8,66,2
5401,Laura Ingram Kindergarten,03 528 8363,,lauraingramkindergarten@ntk.org.nz,6 Pah Street,,Motueka,Free Kindergarten,Not Applicable,Community based,Yes,EQI 3,Tasman District,Tasman Region,Nelson/Marlborough/West Coast,West Coast-Tasman,Te Tai Tonga,Motueka West,Motueka Ward,Craig Vercoe,200 Hardy Street,P O Box 360,Nelson,Nelson 7040,03-5418922,,99115,Motueka Community of Learning,173.010073,-41.109751,44,0,0,0,11,15,11,0,37,9,6,5,15,0
5402,Nayland Kindergarten,03 547 6313,,naylandkindergarten@ntk.org.nz,175 Nayland Road,Stoke,Nelson,Free Kindergarten,Not Applicable,Community based,Yes,EQI 5+,Nelson City,Nelson Region,Nelson/Marlborough/West Coast,Nelson,Te Tai Tonga,Nayland,Area Outside Ward,Craig Vercoe,200 Hardy Street,P O Box 360,Nelson,Nelson 7040,03-5418922,,99042,Te Kahui Ako o Omaio ki Tahunanui,173.232722,-41.305889,44,0,0,0,1,25,28,4,58,17,1,3,35,2
5403,Nelson South Kindergarten,03 548 9970,,nelsonsouthkindergarten@ntk.org.nz,150 A Waimea Road,,Nelson,Free Kindergarten,Not Applicable,Community based,Yes,EQI 4,Nelson City,Nelson Region,Nelson/Marlborough/West Coast,Nelson,Te Tai Tonga,Grampians,Area Outside Ward,Craig Vercoe,200 Hardy Street,P O Box 360,Nelson,Nelson 7040,03-5418922,,99005,Nelson City Community of Learning,173.268951,-41.292002,45,0,0,0,0,23,20,2,45,12,1,12,18,2
5404,Nelson Central Kindergarten,03 548 9936,,nelsoncentralkindergarten@ntk.org.nz,51 B Brook Street,,Nelson,Free Kindergarten,Not Applicable,Community based,Yes,EQI 5+,Nelson City,Nelson Region,Nelson/Marlborough/West Coast,Nelson,Te Tai Tonga,Atmore,Area Outside Ward,Craig Vercoe,200 Hardy Street,P O Box 360,Nelson,Nelson 7040,03-5418922,,99005,Nelson City Community of Learning,173.291252,-41.283931,44,0,0,0,12,18,14,2,46,5,0,7,33,1
5405,Richmond Kindergarten,03 544 6316,,richmondkindergarten@ntk.org.nz,24 Florence Street,,Richmond,Free Kindergarten,Not Applicable,Community based,Yes,EQI 5+,Tasman District,Tasman Region,Nelson/Marlborough/West Coast,Nelson,Te Tai Tonga,Richmond East,Richmond Ward,Craig Vercoe,200 Hardy Street,P O Box 360,Nelson,Nelson 7040,03-5418922,,99142,Waimea Community of Learning,173.189033,-41.337994,43,0,0,0,11,12,20,0,43,4,0,3,36,0
5406,Stoke Kindergarten,03 547 7441,,stokekindergarten@ntk.org.nz,21 Ranui Road,Stoke,Nelson,Free Kindergarten,Not Applicable,Community based,Yes,EQI 5+,Nelson City,Nelson Region,Nelson/Marlborough/West Coast,Nelson,Te Tai Tonga,Isel Park,Area Outside Ward,Craig Vercoe,200 Hardy Street,P O Box 360,Nelson,Nelson 7040,03-5418922,,99042,Te Kahui Ako o Omaio ki Tahunanui,173.233872,-41.316634,40,0,0,0,2,18,18,4,42,6,0,6,28,2
5407,Tahunanui Kindergarten,03 548 5345,,tahunanuikindergarten@ntk.org.nz,53 Muritai Street,Tahunanui,Nelson,Free Kindergarten,Not Applicable,Community based,Yes,EQI 4,Nelson City,Nelson Region,Nelson/Marlborough/West Coast,Nelson,Te Tai Tonga,Tahunanui,Area Outside Ward,Craig Vercoe,200 Hardy Street,P O Box 360,Nelson,Nelson 7040,03-5418922,,99042,Te Kahui Ako o Omaio ki Tahunanui,173.244972,-41.285716,45,0,0,0,2,13,25,1,41,7,1,2,29,2
5408,Westport Kindergarten,03 789 8237,,office@westportkindergarten.nz,48 A Russell Street,,Westport,Free Kindergarten,Not Applicable,Community based,Yes,EQI 4,Buller District,West Coast Region,Nelson/Marlborough/West Coast,West Coast-Tasman,Te Tai Tonga,Westport Urban,Westport Ward,Craig Vercoe,,P O Box 77,Westport,Westport 7866,03-5418922,,99007,Buller Community of Learning,171.598887,-41.751404,96,12,2,17,18,33,26,0,96,14,1,3,78,0
5409,Kidsfirst Kindergartens Avonhead,03 348 6803,03 348 6026,questions@kidsfirst.org.nz,49 Staveley Street,Avonhead,Christchurch,Free Kindergarten,Not Applicable,Community based,Yes,EQI 5+,Christchurch City,Canterbury Region,Canterbury/Chatham Islands,Ilam,Te Tai Tonga,Avonhead,Waimairi Ward,Sherryll Wilson,43 Birmingham Drive,P O Box 8089,Riccarton,Christchurch 8440,03-3381303,03-3381086,,,172.55623,-43.519959,40,0,0,0,7,12,27,0,46,5,2,25,13,1
5411,Kidsfirst Kindergartens Beckenham,03 332 2647,03 332 2647,questions@kidsfirst.org.nz,119 A Fisher Avenue,Beckenham,Christchurch,Free Kindergarten,Not Applicable,Community based,Yes,EQI 5+,Christchurch City,Canterbury Region,Canterbury/Chatham Islands,Christchurch Central,Te Tai Tonga,Beckenham,Cashmere Ward,Sherryll Wilson,43 Birmingham Drive,P O Box 8089,Riccarton,Christchurch 8440,03-3381303,03-3381086,99177,Te Mana Raupo Community of Learning,172.645096,-43.559254,40,0,0,0,3,25,25,3,56,4,3,5,43,1
5413,Kidsfirst Kindergartens Bush Street,03 313 5010,03 313 5014,questions@kidsfirst.org.nz,27 Bush Street,,Rangiora,Free Kindergarten,Not Applicable,Community based,Yes,EQI 5+,Waimakariri District,Canterbury Region,Canterbury/Chatham Islands,Waimakariri,Te Tai Tonga,Rangiora West,Rangiora-Ashley Ward,Sherryll Wilson,43 Birmingham Drive,P O Box 8089,Riccarton,Christchurch 8440,03-3381303,03-3381086,99077,Puketeraki Community of Learning,172.590602,-43.316455,30,0,0,1,10,11,10,0,32,11,0,1,20,0
5414,Kidsfirst Kindergartens Parklands,03 383 0777,03 383 0774,questions@kidsfirst.org.nz,20 Chadbury Street,Parklands,Christchurch,Free Kindergarten,Not Applicable,Community based,Yes,EQI 5+,Christchurch City,Canterbury Region,Canterbury/Chatham Islands,Christchurch East,Te Tai Tonga,Waimairi Beach,Coastal Ward,Sherryll Wilson,43 Birmingham Drive,P O Box 8089,Riccarton,Christchurch 8440,03-3381303,03-3381086,,,172.705687,-43.479876,40,0,0,0,6,10,11,0,27,9,2,1,15,0
5415,Kidsfirst Kindergartens Cashmere,03 332 7173,03 332 7075,questions@kidsfirst.org.nz,106 Hackthorne Rd,Cashmere,Christchurch,Free Kindergarten,Not Applicable,Community based,Yes,EQI 5+,Christchurch City,Canterbury Region,Canterbury/Chatham Islands,Port Hills,Te Tai Tonga,Cashmere West,Cashmere Ward,Sherryll Wilson,43 Birmingham Drive,P O Box 8089,Riccarton,Christchurch 8440,03-3381303,03-3381086,99177,Te Mana Raupo Community of Learning,172.627685,-43.57858,40,0,0,0,10,20,18,1,49,3,0,8,37,1
5417,Kidsfirst Kindergartens Cotswold Avenue,03 359 7169,03 359 7163,questions@kidsfirst.org.nz,62 Cotswold Avenue,Bishopdale,Christchurch,Free Kindergarten,Not Applicable,Community based,Yes,EQI 5+,Christchurch City,Canterbury Region,Canterbury/Chatham Islands,Ilam,Te Tai Tonga,Bishopdale North,Harewood Ward,Sherryll Wilson,43 Birmingham Drive,P O Box 8089,Riccarton,Christchurch 8440,03-3381303,03-3381086,99039,Totaranui Kahui Ako,172.58694,-43.482043,40,0,0,0,7,14,22,0,43,3,2,15,21,2
5418,Kidsfirst Kindergartens Edmonds Smith St,03 389 9995,03 389 3173,questions@kidsfirst.org.nz,21 Smith Street,Woolston,Christchurch,Free Kindergarten,Not Applicable,Community based,Yes,EQI 2,Christchurch City,Canterbury Region,Canterbury/Chatham Islands,Port Hills,Te Tai Tonga,Woolston West,Linwood Ward,Sherryll Wilson,43 Birmingham Drive,P O Box 8089,Riccarton,Christchurch 8440,03-3381303,03-3381086,99063,Tamai Community of Learning,172.672049,-43.543421,40,0,0,0,3,20,17,2,42,12,4,7,17,2
5419,Kidsfirst Kindergartens Ilam,03 351 7189,03 351 6189,questions@kidsfirst.org.nz,6 Ryeland Ave,Ilam,Christchurch,Free Kindergarten,Not Applicable,Community based,Yes,EQI 5+,Christchurch City,Canterbury Region,Canterbury/Chatham Islands,Ilam,Te Tai Tonga,Jellie Park,Fendalton Ward,Sherryll Wilson,43 Birmingham Drive,P O Box 8089,Riccarton,Christchurch 8440,03-3381303,03-3381086,99027,Waimairi-iri Community of Learning,172.577986,-43.514018,40,0,0,0,11,11,29,1,52,5,1,20,21,5
5420,Kidsfirst Kindergartens Greymouth,027 258 9626,,greymouth@kidsfirst.org.nz,85A Shakespeare Street,,Greymouth,Free Kindergarten,Not Applicable,Community based,Yes,EQI 5+,Grey District,West Coast Region,Nelson/Marlborough/West Coast,West Coast-Tasman,Te Tai Tonga,Greymouth South,Central Ward,Sherryll Wilson,43 Birmingham Drive,P O Box 8089,Riccarton,Christchurch 8440,03-3381303,03-3381086,,,171.201651,-42.461894,40,0,0,0,13,8,22,0,43,12,1,5,25,0
5421,Kidsfirst Kindergartens Hargest Crescent,03 379 0136,03 379 0027,questions@kidsfirst.org.nz,33 Hargest Crescent,Waltham,Christchurch,Free Kindergarten,Not Applicable,Community based,Yes,EQI 4,Christchurch City,Canterbury Region,Canterbury/Chatham Islands,Christchurch Central,Te Tai Tonga,Sydenham,Heathcote Ward,Sherryll Wilson,43 Birmingham Drive,P O Box 8089,Riccarton,Christchurch 8440,03-3381303,03-3381086,99177,Te Mana Raupo Community of Learning,172.646019,-43.549303,40,0,0,0,12,13,15,1,41,7,2,9,22,1
5422,Kidsfirst Kindergartens Hei Hei,03 349 6265,03 349 6265,questions@kidsfirst.org.nz,10 Wycola Avenue,Hei Hei,Christchurch,Free Kindergarten,Not Applicable,Community based,Yes,EQI 4,Christchurch City,Canterbury Region,Canterbury/Chatham Islands,Wigram,Te Tai Tonga,Hornby North,Hornby Ward,Sherryll Wilson,43 Birmingham Drive,P O Box 8089,Riccarton,Christchurch 8440,03-3381303,03-3381086,,,172.521843,-43.536003,39,0,0,0,12,7,9,0,28,9,5,6,7,1
5424,Kidsfirst Kindergartens Hokitika,027 258 9626,03 755 6785,hokitika@kidsfirst.org.nz,77 Hall Street,,Hokitika,Free Kindergarten,Not Applicable,Community based,Yes,EQI 5+,Westland District,West Coast Region,Nelson/Marlborough/West Coast,West Coast-Tasman,Te Tai Tonga,Hokitika Urban,Hokitika Ward,Sherryll Wilson,43 Birmingham Drive,P O Box 8089,Riccarton,Christchurch 8440,03-3381303,03-3381086,,,170.969326,-42.718031,40,0,0,0,4,10,13,0,27,8,0,0,19,0
5425,Kidsfirst Kindergartens Hornby,03 349 7977,03 349 7957,questions@kidsfirst.org.nz,17 Brynley Street,Hornby,Christchurch,Free Kindergarten,Not Applicable,Community based,Yes,EQI 4,Christchurch City,Canterbury Region,Canterbury/Chatham Islands,Wigram,Te Tai Tonga,Hornby South,Hornby Ward,Sherryll Wilson,43 Birmingham Drive,P O Box 8089,Riccarton,Christchurch 8440,03-3381303,03-3381086,,,172.528874,-43.544517,40,0,0,0,12,17,11,0,40,5,12,10,13,0
5426,Kidsfirst Kindergartens Isleworth Road,03 359 9621,03 359 7779,questions@kidsfirst.org.nz,6 Isleworth Road,Bishopdale,Christchurch,Free Kindergarten,Not Applicable,Community based,Yes,EQI 5+,Christchurch City,Canterbury Region,Canterbury/Chatham Islands,Ilam,Te Tai Tonga,Bishopdale,Harewood Ward,Sherryll Wilson,43 Birmingham Drive,P O Box 8089,Riccarton,Christchurch 8440,03-3381303,03-3381086,99027,Waimairi-iri Community of Learning,172.58398,-43.491761,40,0,0,0,7,16,15,0,38,4,0,6,27,1
5427,Kidsfirst Kindergartens Karoro,03 768 6727,03 768 6725,karoro@kidsfirst.org.nz,20 Loris Place,,Greymouth,Free Kindergarten,Not Applicable,Community based,Yes,EQI 5+,Grey District,West Coast Region,Nelson/Marlborough/West Coast,West Coast-Tasman,Te Tai Tonga,Karoro,Southern Ward,Sherryll Wilson,43 Birmingham Drive,P O Box 8089,Riccarton,Christchurch 8440,03-3381303,03-3381086,,,171.183491,-42.484859,30,0,0,0,6,15,13,3,37,10,0,2,25,0
5428,Kidsfirst Kindergartens Bromley,03 389 0359,03 389 0356,questions@kidsfirst.org.nz,33 Keighleys Road,Bromley,Christchurch,Free Kindergarten,Not Applicable,Community based,Yes,EQI 3,Christchurch City,Canterbury Region,Canterbury/Chatham Islands,Christchurch East,Te Tai Tonga,Bromley,Linwood Ward,Sherryll Wilson,43 Birmingham Drive,P O Box 8089,Riccarton,Christchurch 8440,03-3381303,03-3381086,99063,Tamai Community of Learning,172.686764,-43.536523,40,0,0,0,7,12,11,1,31,15,1,3,12,0
5429,Kidsfirst Kindergartens Kendal Avenue,03 358 8632,03 358 8736,questions@kidsfirst.org.nz,55 Kendal Avenue,Burnside,Christchurch,Free Kindergarten,Not Applicable,Community based,Yes,EQI 4,Christchurch City,Canterbury Region,Canterbury/Chatham Islands,Ilam,Te Tai Tonga,Burnside,Waimairi Ward,Sherryll Wilson,43 Birmingham Drive,P O Box 8089,Riccarton,Christchurch 8440,03-3381303,03-3381086,99027,Waimairi-iri Community of Learning,172.573679,-43.49801,30,0,0,0,10,12,12,0,34,7,1,6,19,1
5430,Kidsfirst Kindergartens King Street,03 313 7827,03 313 7817,questions@kidsfirst.org.nz,203 King Street,,Rangiora,Free Kindergarten,Not Applicable,Community based,Yes,EQI 5+,Waimakariri District,Canterbury Region,Canterbury/Chatham Islands,Waimakariri,Te Tai Tonga,Rangiora North,Rangiora-Ashley Ward,Sherryll Wilson,43 Birmingham Drive,P O Box 8089,Riccarton,Christchurch 8440,03-3381303,03-3381086,99077,Puketeraki Community of Learning,172.589416,-43.302924,40,0,0,0,10,13,17,0,40,5,2,2,31,0
5431,Kidsfirst Kindergartens Lady May,03 348 7234,03 341 2219,questions@kidsfirst.org.nz,11 Haynes Avenue,Upper Riccarton,Christchurch,Free Kindergarten,Not Applicable,Community based,Yes,EQI 3,Christchurch City,Canterbury Region,Canterbury/Chatham Islands,Wigram,Te Tai Tonga,Sockburn,Riccarton Ward,Sherryll Wilson,43 Birmingham Drive,P O Box 8089,Riccarton,Christchurch 8440,03-3381303,03-3381086,99176,Putaringamotu Kahui Ako,172.572146,-43.533635,40,0,0,0,9,11,9,1,30,10,2,12,6,0
5432,Kidsfirst Kindergartens Linwood,03 389 9772,03 389 9767,questions@kidsfirst.org.nz,24 Rochester Street,Linwood,Christchurch,Free Kindergarten,Not Applicable,Community based,Yes,EQI 3,Christchurch City,Canterbury Region,Canterbury/Chatham Islands,Christchurch East,Te Tai Tonga,Linwood North,Central Ward,Sherryll Wilson,43 Birmingham Drive,P O Box 8089,Riccarton,Christchurch 8440,03-3381303,03-3381086,99063,Tamai Community of Learning,172.667909,-43.528765,40,0,0,0,7,7,19,0,33,11,2,10,8,2
5433,Kidsfirst Kindergartens Lyttelton,03 328 8689,03 328 8669,questions@kidsfirst.org.nz,33 Winchester Street,,Lyttelton,Free Kindergarten,Not Applicable,Community based,Yes,EQI 5+,Christchurch City,Canterbury Region,Canterbury/Chatham Islands,Port Hills,Te Tai Tonga,Lyttelton,Banks Peninsula Ward,Sherryll Wilson,43 Birmingham Drive,P O Box 8089,Riccarton,Christchurch 8440,03-3381303,03-3381086,99196,Aupaki Kahui Ako,172.719872,-43.601182,30,0,0,0,1,19,20,2,42,5,0,3,31,2
5434,Kidsfirst Kindergartens MacFarlane Park,03 385 9696,03 385 9794,questions@kidsfirst.org.nz,19 Acheson Avenue,Shirley,Christchurch,Free Kindergarten,Not Applicable,Community based,Yes,EQI 2,Christchurch City,Canterbury Region,Canterbury/Chatham Islands,Christchurch East,Te Tai Tonga,Shirley West,Innes Ward,Sherryll Wilson,43 Birmingham Drive,P O Box 8089,Riccarton,Christchurch 8440,03-3381303,03-3381086,99175,Otakaro Community of Learning,172.654281,-43.500816,30,0,0,0,5,8,7,0,20,9,3,2,6,0
5435,Kidsfirst Kindergartens McKenzie,03 348 4326,,questions@kidsfirst.org.nz,107 Rattray Street,Riccarton,Christchurch,Free Kindergarten,Not Applicable,Community based,Yes,EQI 4,Christchurch City,Canterbury Region,Canterbury/Chatham Islands,Wigram,Te Tai Tonga,Riccarton West,Riccarton Ward,Sherryll Wilson,43 Birmingham Drive,P O Box 8089,Riccarton,Christchurch 8440,03-3381303,03-3381086,99176,Putaringamotu Kahui Ako,172.591524,-43.531183,40,0,0,0,8,11,14,0,33,2,2,26,1,2
5436,Kidsfirst Kindergartens Mairehau,03 385 2716,03 385 2716,questions@kidsfirst.org.nz,23 Fergusson Avenue,Mairehau,Christchurch,Free Kindergarten,Not Applicable,Community based,Yes,EQI 5+,Christchurch City,Canterbury Region,Canterbury/Chatham Islands,Christchurch Central,Te Tai Tonga,Shirley West,Innes Ward,Sherryll Wilson,43 Birmingham Drive,P O Box 8089,Riccarton,Christchurch 8440,03-3381303,03-3381086,,,172.643097,-43.500982,40,0,0,0,9,10,9,1,29,6,3,5,15,0
5437,Kidsfirst Kindergartens Mathers Road,03 338 4035,03 338 4045,questions@kidsfirst.org.nz,109 Mathers Road,Hoon Hay,Christchurch,Free Kindergarten,Not Applicable,Community based,Yes,EQI 5+,Christchurch City,Canterbury Region,Canterbury/Chatham Islands,Wigram,Te Tai Tonga,Hillmorton,Spreydon Ward,Sherryll Wilson,43 Birmingham Drive,P O Box 8089,Riccarton,Christchurch 8440,03-3381303,03-3381086,,,172.590784,-43.563514,40,0,0,0,7,8,13,0,28,5,2,2,19,0
5438,Kidsfirst Kindergartens The Bays,03 384 1065,03 384 1032,questions@kidsfirst.org.nz,1 McCormacks Road,Mt Pleasant,Christchurch,Free Kindergarten,Not Applicable,Community based,Yes,EQI 5+,Christchurch City,Canterbury Region,Canterbury/Chatham Islands,Port Hills,Te Tai Tonga,Mt Pleasant,Heathcote Ward,Sherryll Wilson,43 Birmingham Drive,P O Box 8089,Riccarton,Christchurch 8440,03-3381303,03-3381086,99196,Aupaki Kahui Ako,172.720624,-43.556026,40,0,0,0,14,18,16,1,49,4,0,4,40,1
5439,Kidsfirst Kindergartens Ngaire Larcombe,03 388 1406,03 388 1429,questions@kidsfirst.org.nz,320 Wainoni Road,Wainoni,Christchurch,Free Kindergarten,Not Applicable,Community based,Yes,EQI 2,Christchurch City,Canterbury Region,Canterbury/Chatham Islands,Christchurch East,Te Tai Tonga,Aranui,Burwood Ward,Sherryll Wilson,43 Birmingham Drive,P O Box 8089,Riccarton,Christchurch 8440,03-3381303,03-3381086,,,172.705636,-43.504644,30,0,0,0,6,9,9,0,24,12,3,4,5,0
5440,Kidsfirst Kindergartens Northcote,03 352 8869,03 352 5869,,121 Northcote Road,Bishopdale,Christchurch,Free Kindergarten,Not Applicable,Community based,Yes,EQI 4,Christchurch City,Canterbury Region,Canterbury/Chatham Islands,Christchurch Central,Te Tai Tonga,Casebrook,Papanui Ward,Sherryll Wilson,43 Birmingham Drive,P O Box 8089,Riccarton,Christchurch 8440,03-3381303,03-3381086,99039,Totaranui Kahui Ako,172.605312,-43.484451,30,0,0,0,5,9,17,1,32,5,2,14,10,1
5441,Kidsfirst Kindergartens Nth New Brighton,03 388 8996,03 388 8993,questions@kidsfirst.org.nz,177 Bowhill Road,North New Brighton,Christchurch,Free Kindergarten,Not Applicable,Community based,Yes,EQI 5+,Christchurch City,Canterbury Region,Canterbury/Chatham Islands,Christchurch East,Te Tai Tonga,Rawhiti,Coastal Ward,Sherryll Wilson,43 Birmingham Drive,P O Box 8089,Riccarton,Christchurch 8440,03-3381303,03-3381086,,,172.715007,-43.498115,40,0,0,0,1,15,23,0,39,9,1,3,24,2
5442,Kidsfirst Kindergartens Nuffield,03 388 8694,03 388 8694,questions@kidsfirst.org.nz,171 Seaview Road,New Brighton,Christchurch,Free Kindergarten,Not Applicable,Community based,Yes,EQI 4,Christchurch City,Canterbury Region,Canterbury/Chatham Islands,Christchurch East,Te Tai Tonga,New Brighton,Coastal Ward,Sherryll Wilson,43 Birmingham Drive,P O Box 8089,Riccarton,Christchurch 8440,03-3381303,03-3381086,,,172.722782,-43.509111,30,0,0,0,12,20,8,1,41,15,2,2,22,0
5443,Kidsfirst Kindergartens Opawa St Martins,03 332 2866,03 332 2866,questions@kidsfirst.org.nz,8 Butler Street,Opawa,Christchurch,Free Kindergarten,Not Applicable,Community based,Yes,EQI 5+,Christchurch City,Canterbury Region,Canterbury/Chatham Islands,Christchurch Central,Te Tai Tonga,Opawa,Heathcote Ward,Sherryll Wilson,43 Birmingham Drive,P O Box 8089,Riccarton,Christchurch 8440,03-3381303,03-3381086,99177,Te Mana Raupo Community of Learning,172.661636,-43.559576,40,0,0,0,6,22,11,2,41,14,1,3,21,2
